# y+ u+
6.928187923967378481e+01 1.619526342423624499e+01
6.968918027981166574e+01 1.621370360864206006e+01
7.009938490535363087e+01 1.623216025299516474e+01
7.051252147978247820e+01 1.625063269423685597e+01
7.092861857959145766e+01 1.626912020327564790e+01
7.134770499207064631e+01 1.628762200297784801e+01
7.176980971288651290e+01 1.630613728744239310e+01
7.219496194344631590e+01 1.632466523918204260e+01
7.262319108803863799e+01 1.634320504061612311e+01
7.305452675074202773e+01 1.636175587689638888e+01
7.348899873209174416e+01 1.638031692858048771e+01
7.392663702549600657e+01 1.639888735472689163e+01
7.436747181339265467e+01 1.641746626903074002e+01
7.481153346313517716e+01 1.643605271305638738e+01
7.525885252260016500e+01 1.645464563109388578e+01
7.570945971550376896e+01 1.647324385062993102e+01
7.616338593641864918e+01 1.649184607116460555e+01
7.662066224547960758e+01 1.651045086263044936e+01
7.708131986276745806e+01 1.652905667350260899e+01
7.754539016236017801e+01 1.654766184802278062e+01
7.801290466603937546e+01 1.656626465154643668e+01
7.848389503664095912e+01 1.658486330247785290e+01
7.895839307103832994e+01 1.660345600848630809e+01
7.943643069274580171e+01 1.662204100391307904e+01
7.991803994412983059e+01 1.664061658464672533e+01
8.040325297821622996e+01 1.665918113624761787e+01
8.089210205008023991e+01 1.667773315088362551e+01
8.138461950780680354e+01 1.669627122919575157e+01
8.188083778300824633e+01 1.671479406489260100e+01
8.238078938088597170e+01 1.673330041222745379e+01
8.288450686982298521e+01 1.675178903860294355e+01
8.339202287049397455e+01 1.677025866597843873e+01
8.390337004447927427e+01 1.678870790599682294e+01
8.441858108236890246e+01 1.680713519530607414e+01
8.493768869134373745e+01 1.682553873920690535e+01
8.546072558221901261e+01 1.684391647254184932e+01
8.598772445593718317e+01 1.686226604540270202e+01
8.651871798949595416e+01 1.688058483715055047e+01
8.705373882129778451e+01 1.689886999640960141e+01
8.759281953590762271e+01 1.691711849945054880e+01
8.813599264820386736e+01 1.693532721669586039e+01
8.868329058691119826e+01 1.695349297739138450e+01
8.923474567749927644e+01 1.697161262506945434e+01
8.979039012443666934e+01 1.698968306024984187e+01
9.035025599278513653e+01 1.700770127062116899e+01
9.091437518912263727e+01 1.702566435142715662e+01
9.148277944178204280e+01 1.704356951972241063e+01
9.205550028039409938e+01 1.706141412661245482e+01
9.263256901472259131e+01 1.707919567177114928e+01
9.321401671278091783e+01 1.709691182228080564e+01
9.379987417821885742e+01 1.711456043160031015e+01
9.439017192697041025e+01 1.713213954801277694e+01
9.498494016315258648e+01 1.714964740243948782e+01
9.558420875420664231e+01 1.716708237469324061e+01
9.618800720527401893e+01 1.718444294737061995e+01
9.679636463279992142e+01 1.720172765922849223e+01
9.740930973735814291e+01 1.721893506578053135e+01
9.802687077569220264e+01 1.723606371063692322e+01
9.864907553196889012e+01 1.725311210904570913e+01
9.927595128824093251e+01 1.727007874182183045e+01
9.990752479411733589e+01 1.728696205268120067e+01
1.005438222356416418e+02 1.730376044061421226e+01
1.011848692033774739e+02 1.732047224675446628e+01
1.018306906597066757e+02 1.733709574921171992e+01
1.024813109053413029e+02 1.735362918789596876e+01
1.031367535450578856e+02 1.737007083371873506e+01
1.037970414526601104e+02 1.738641909503743221e+01
1.044621967351801004e+02 1.740267263554338939e+01
1.051322406963302143e+02 1.741883047758849301e+01
1.058071937992183535e+02 1.743489207998010926e+01
1.064870756283433764e+02 1.745085738973821776e+01
1.071719048508884242e+02 1.746672685915300605e+01
1.078616991773331932e+02 1.748250140265990282e+01
1.085564753214078877e+02 1.749818226828831058e+01
1.092562489594148332e+02 1.751377082721410616e+01
1.099610346889462278e+02 1.752926832108741095e+01
1.106708459870291819e+02 1.754467562030458794e+01
1.113856951677321803e+02 1.755999303855891114e+01
1.121055933392704986e+02 1.757522024438523900e+01
1.128305503606497950e+02 1.759035630736432054e+01
1.135605747978925706e+02 1.760539988280017809e+01
1.142956738798928171e+02 1.762034946901116328e+01
1.150358534539497128e+02 1.763520361914394030e+01
1.157811179410321643e+02 1.764996101355588820e+01
1.165314702908331128e+02 1.766462038830905712e+01
1.172869119366704922e+02 1.767918039164111121e+01
1.180474427503016699e+02 1.769363944553988333e+01
1.188130609967154783e+02 1.770799564486539879e+01
1.195837632889743958e+02 1.772224668805550962e+01
1.203595445431795952e+02 1.773638982798361852e+01
1.211403979336370043e+02 1.775042185084178925e+01
1.219263148483051538e+02 1.776433910940821193e+01
1.227172848446090114e+02 1.777813762491106431e+01
1.235132956057076825e+02 1.779181323236509371e+01
1.243143328973067980e+02 1.780536172802495187e+01
1.251203805251096952e+02 1.781877900842260942e+01
1.259314202930050186e+02 1.783206121526288968e+01
1.267474319620896495e+02 1.784520486879301870e+01
1.275683932106314273e+02 1.785820692110702979e+01
1.283942795950755169e+02 1.787106467076620575e+01
1.292250645122034030e+02 1.788377557370531434e+01
1.300607191625540224e+02 1.789633708785993704e+01
1.309012125152181341e+02 1.790874668469864872e+01
1.317465112741211897e+02 1.792100200952361178e+01
1.325965798459079394e+02 1.793310099363758070e+01
1.334513803095454705e+02 1.794504172233524386e+01
1.343108723877613784e+02 1.795682209257916284e+01
1.351750134204336007e+02 1.796843951326373556e+01
1.360437583400499761e+02 1.797989084544345317e+01
1.369170596493523249e+02 1.799117252347072338e+01
1.377948674012832555e+02 1.800228066011872485e+01
1.386771291813482492e+02 1.801321105577192938e+01
1.395637900925068209e+02 1.802395921778645516e+01
1.404547927427034608e+02 1.803452053438281055e+01
1.413500772351462729e+02 1.804489062032876134e+01
1.422495811614384991e+02 1.805506568020814484e+01
1.431532395976636849e+02 1.806504267469746949e+01
1.440609851035227393e+02 1.807481921091516597e+01
1.449727477246145213e+02 1.808439328645279787e+01
1.458884549979481164e+02 1.809376308156967283e+01
1.468080319607678064e+02 1.810292688771287217e+01
1.477314011627672983e+02 1.811188311473172163e+01
1.486584826817613134e+02 1.812063023540359197e+01
1.495891941428767780e+02 1.812916657715050306e+01
1.505234507413179017e+02 1.813749002847295344e+01
1.514611652687506478e+02 1.814559779373756498e+01
1.524022481433442806e+02 1.815348625412610417e+01
1.533466074434991526e+02 1.816115097361769770e+01
1.542941489452789483e+02 1.816858693366264532e+01
1.552447761635573613e+02 1.817578897983365138e+01
1.561983903968789491e+02 1.818275227444761555e+01
1.571548907760223699e+02 1.818947253051024759e+01
1.581141743162454532e+02 1.819594595918415081e+01
1.590761359731794187e+02 1.820216900680943439e+01
1.600406687023285883e+02 1.820813805034726229e+01
1.610076635221226411e+02 1.821384927342638349e+01
1.619770095804543644e+02 1.821929881878025270e+01
1.629485942246273567e+02 1.822448302663388731e+01
1.639223030746261145e+02 1.822939847105655531e+01
1.648980200996091128e+02 1.823404172135845158e+01
1.658756276975164781e+02 1.823840896203398998e+01
1.668550067776708943e+02 1.824249564642472876e+01
1.678360368462425072e+02 1.824629639053718222e+01
1.688185960944362591e+02 1.824980528364380561e+01
1.698025614892522697e+02 1.825301656075146539e+01
1.707878088666594749e+02 1.825592535948301531e+01
1.717742130270140422e+02 1.825852829530671073e+01
1.727616478325469984e+02 1.826082368639971065e+01
1.737499863067362469e+02 1.826281132098562310e+01
1.747391007353720624e+02 1.826449183965443268e+01
1.757288627691195018e+02 1.826586606435747484e+01
1.767191435273734044e+02 1.826693460320248263e+01
1.777098137031990746e+02 1.826769777172670217e+01
1.787007436691459077e+02 1.826815567322617184e+01
1.796918035837194623e+02 1.826830831045079151e+01
